data: Friday 28th of June 2013 10:55:52 AM
data: Friday 28th of June 2013 10:57:03 AM - 0
data: Friday 28th of June 2013 10:57:30 AM -  | Vendég | 0 | 0 | 0 |  | 0
data: Friday 28th of June 2013 10:58:12 AM -  | name->Vendég | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: Friday 28th of June 2013 10:59:30 AM -  | name->Vendég | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: Friday 28th of June 2013 10:59:53 AM -  | name->Vendég | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 09:59:00 AM -  | name->Dávid | id->2 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 10:06:03 AM -  | name->Dávid | id->3 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 10:07:41 AM -  | name->Dávid | id->4 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 10:07:52 AM -  | name->Dávid | id->4 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 10:09:49 AM -  | name->Dávid | id->5 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 10:11:22 AM -  | name->Dávid | id->5 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 10:12:17 AM -  | name->Dávid | id->0 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 10:13:57 AM -  | name->Dávid | id->2 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 10:14:01 AM -  | name->Vendég | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 84.0.170.225 / Friday 22nd of November 2013 10:14:41 AM -  | name->Dávid | id->5 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 86.101.227.17 / Monday 6th of January 2014 09:17:30 AM -  | name->Dávid | id->0 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 86.101.227.17 / Monday 13th of January 2014 10:26:34 AM -  | name->Dávid | id->3 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 195.188.203.22 / Tuesday 14th of January 2014 10:52:38 AM -  | name->Vendég | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 86.101.227.17 / Monday 20th of January 2014 12:32:40 PM -  | name->Vendég | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 202.156.9.225 / Friday 24th of January 2014 01:02:09 PM -  | name->Vendég | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 37.76.110.199 / Monday 27th of January 2014 06:48:25 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 86.59.185.48 / Friday 7th of February 2014 12:28:35 AM -  | name->Dávid | id->3 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 86.59.185.48 / Friday 7th of February 2014 12:28:37 AM -  | name->Dávid | id->3 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 86.59.185.48 / Friday 7th of February 2014 12:28:49 AM -  | name->Dávid | id->3 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 86.59.185.48 / Friday 7th of February 2014 12:30:44 AM -  | name->Dávid | id->3 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 86.59.185.48 / Friday 7th of February 2014 01:10:18 AM -  | name->Dávid | id->3 | fid->100004549324082 | score->0 | time-> | lastTime->0
data: 176.77.134.62 / Monday 10th of February 2014 08:57:44 AM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 80.99.31.140 / Thursday 13th of February 2014 05:14:18 PM -  | name->VendÃ©g | id->3 | fid->0 | score->0 | time-> | lastTime->0
data: 46.107.64.33 / Sunday 23rd of February 2014 11:06:56 AM -  | name->VendÃ©g | id->3 | fid->0 | score->0 | time-> | lastTime->0
data: 77.89.175.42 / Friday 28th of February 2014 10:26:46 AM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
